時刻,体表温度,体動,脈周期[ms],ラベル
2023/08/02 17:37:14,37.59999847412109,,606.0,2
2023/08/02 17:37:15,37.59999847412109,,606.0,2
2023/08/02 17:37:16,37.70000076293945,,600.0,2
2023/08/02 17:37:17,37.70000076293945,,600.0,2
2023/08/02 17:37:18,37.70000076293945,,600.0,2
2023/08/02 17:37:19,37.70000076293945,,600.0,2
2023/08/02 17:37:20,37.79999923706055,,594.0,2
2023/08/02 17:37:21,37.79999923706055,,594.0,2
2023/08/02 17:37:22,37.79999923706055,,594.0,2
2023/08/02 17:37:23,37.79999923706055,,594.0,2
2023/08/02 17:37:24,37.900001525878906,,606.0,2
2023/08/02 17:37:25,37.900001525878906,1.0,606.0,2
2023/08/02 17:37:26,37.900001525878906,1.0,612.0,2
2023/08/02 17:37:27,37.900001525878906,1.0,612.0,2
2023/08/02 17:37:28,38.0,1.0,612.0,2
2023/08/02 17:37:29,38.0,1.0,612.0,2
2023/08/02 17:37:30,38.0,1.0,612.0,2
2023/08/02 17:37:31,38.0,1.0,612.0,2
2023/08/02 17:37:32,38.0,1.0,612.0,2
2023/08/02 17:37:33,38.0,1.0,612.0,2
2023/08/02 17:37:34,38.09999847412109,1.0,612.0,2
2023/08/02 17:37:35,38.09999847412109,,612.0,2
2023/08/02 17:37:36,38.09999847412109,,612.0,2
2023/08/02 17:37:37,38.09999847412109,,612.0,2
2023/08/02 17:37:38,38.09999847412109,,612.0,2
2023/08/02 17:37:39,38.20000076293945,,594.0,2
2023/08/02 17:37:40,38.20000076293945,1.0,594.0,2
2023/08/02 17:37:41,38.20000076293945,,588.0,2
2023/08/02 17:37:42,38.20000076293945,1.0,588.0,2
2023/08/02 17:37:43,38.29999923706055,1.0,588.0,2
2023/08/02 17:37:44,38.29999923706055,,588.0,2
2023/08/02 17:37:45,38.29999923706055,,588.0,2
2023/08/02 17:37:46,38.29999923706055,,588.0,2
